Repositório,Estrelas,PR's mergeadas,url
Font-Awesome,74910,209,https://github.com/FortAwesome/Font-Awesome
awesome-interview-questions,74252,176,https://github.com/DopplerHQ/awesome-interview-questions
netdata,74036,10326,https://github.com/netdata/netdata
json-server,73973,121,https://github.com/typicode/json-server
ComfyUI,73757,707,https://github.com/comfyanonymous/ComfyUI
devops-exercises,73277,291,https://github.com/bregman-arie/devops-exercises
gpt4all,73048,937,https://github.com/nomic-ai/gpt4all
awesome-for-beginners,73016,434,https://github.com/MunGell/awesome-for-beginners
awesome-vue,72758,3552,https://github.com/vuejs/awesome-vue
github-readme-stats,72424,1251,https://github.com/anuraghazra/github-readme-stats
elasticsearch,72296,76049,https://github.com/elastic/elasticsearch
vite,71978,5223,https://github.com/vitejs/vite
ML-For-Beginners,71773,371,https://github.com/microsoft/ML-For-Beginners
playwright,71478,14332,https://github.com/microsoft/playwright
hoppscotch,70992,1732,https://github.com/hoppscotch/hoppscotch
code-server,70729,1528,https://github.com/coder/code-server
nest,70363,6978,https://github.com/nestjs/nest
HowToCook,70199,521,https://github.com/Anduin2017/HowToCook
Front-End-Checklist,69823,179,https://github.com/thedaviddias/Front-End-Checklist
moby,69529,20876,https://github.com/moby/moby
fzf,69282,567,https://github.com/junegunn/fzf
flask,69264,1598,https://github.com/pallets/flask
syncthing,69258,2652,https://github.com/syncthing/syncthing
reveal.js,68661,410,https://github.com/hakimel/reveal.js
redis,68615,3990,https://github.com/redis/redis
node,68517,147,https://github.com/base/node
cs-video-courses,68459,198,https://github.com/Developer-Y/cs-video-courses
swift,68353,53150,https://github.com/swiftlang/swift
d2l-zh,68276,1019,https://github.com/d2l-ai/d2l-zh
gpt_academic,68135,225,https://github.com/binary-husky/gpt_academic
awesome-react,67581,780,https://github.com/enaqx/awesome-react
awesome-machine-learning,67526,849,https://github.com/josephmisiti/awesome-machine-learning
grafana,67410,52739,https://github.com/grafana/grafana
protobuf,67168,7135,https://github.com/protocolbuffers/protobuf
uptime-kuma,66954,1239,https://github.com/louislam/uptime-kuma
express,66697,429,https://github.com/expressjs/express
Best-websites-a-programmer-should-visit,66534,429,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
cpython,66212,49550,https://github.com/python/cpython
strapi,66037,8864,https://github.com/strapi/strapi
tesseract,66008,1403,https://github.com/tesseract-ocr/tesseract
Ventoy,65946,280,https://github.com/ventoy/Ventoy
Chart.js,65672,2985,https://github.com/chartjs/Chart.js
superset,65565,14150,https://github.com/apache/superset
webpack,65180,4896,https://github.com/webpack/webpack
33-js-concepts,64996,250,https://github.com/leonardomso/33-js-concepts
ansible,64669,38799,https://github.com/ansible/ansible
PayloadsAllTheThings,64522,540,https://github.com/swisskyrepo/PayloadsAllTheThings
imgui,64491,391,https://github.com/ocornut/imgui
gpt4free,63989,768,https://github.com/xtekky/gpt4free
javascript-questions,63732,328,https://github.com/lydiahallie/javascript-questions
sherlock,63523,640,https://github.com/sherlock-project/sherlock
obs-studio,63389,5043,https://github.com/obsproject/obs-studio
immich,63215,5931,https://github.com/immich-app/immich
tabby,62956,1480,https://github.com/Eugeny/tabby
echarts,62941,1372,https://github.com/apache/echarts
awesome-cpp,62903,782,https://github.com/fffaraz/awesome-cpp
caddy,62857,2057,https://github.com/caddyserver/caddy
keras,62844,4015,https://github.com/keras-team/keras
awesome-public-datasets,62756,188,https://github.com/awesomedata/awesome-public-datasets
openai-cookbook,62716,691,https://github.com/openai/openai-cookbook
sway,62360,3345,https://github.com/FuelLabs/sway
AppFlowy,61997,3672,https://github.com/AppFlowy-IO/AppFlowy
SecLists,61982,664,https://github.com/danielmiessler/SecLists
cs-self-learning,61919,276,https://github.com/PKUFlyingPig/cs-self-learning
socket.io,61884,435,https://github.com/socketio/socket.io
scikit-learn,61693,13043,https://github.com/scikit-learn/scikit-learn
Apollo-11,61579,343,https://github.com/chrislgarry/Apollo-11
Java,61287,1870,https://github.com/TheAlgorithms/Java
redux,61140,1713,https://github.com/reduxjs/redux
awesome-nodejs,60505,416,https://github.com/sindresorhus/awesome-nodejs
atom,60383,3937,https://github.com/atom/atom
design-resources-for-developers,60368,940,https://github.com/bradtraversy/design-resources-for-developers
lodash,60315,581,https://github.com/lodash/lodash
Front-end-Developer-Interview-Questions,60223,484,https://github.com/h5bp/Front-end-Developer-Interview-Questions
awesome-courses,59877,194,https://github.com/prakhar1989/awesome-courses
annotated_deep_learning_paper_implementations,59849,102,https://github.com/labmlai/annotated_deep_learning_paper_implementations
localsend,59839,660,https://github.com/localsend/localsend
jquery,59476,792,https://github.com/jquery/jquery
docusaurus,59256,5389,https://github.com/facebook/docusaurus
act,59170,1023,https://github.com/nektos/act
open-interpreter,59041,371,https://github.com/OpenInterpreter/open-interpreter
shadowsocks-windows,58739,290,https://github.com/shadowsocks/shadowsocks-windows
angular.js,58735,790,https://github.com/angular/angular.js
lobe-chat,58684,2009,https://github.com/lobehub/lobe-chat
lazygit,58600,1546,https://github.com/jesseduffield/lazygit
localstack,58524,5859,https://github.com/localstack/localstack
alacritty,58278,1863,https://github.com/alacritty/alacritty
prometheus,58067,7333,https://github.com/prometheus/prometheus
spring-framework,57782,856,https://github.com/spring-projects/spring-framework
fuel-core,57724,1471,https://github.com/FuelLabs/fuel-core
rustlings,57512,908,https://github.com/rust-lang/rustlings
