,Qtd Arquivos,Linhas alteradas,Aceitabilidade
Qtd Arquivos,1.0,0.14114980873639324,-0.05850977699606181
Linhas alteradas,0.14114980873639324,1.0,-0.007146104526501403
Aceitabilidade,-0.05850977699606181,-0.007146104526501403,1.0
