,Nº Participantes,Nº Comentários,Aceitabilidade
Nº Participantes,1.0,0.33878234456970874,-0.07333294821668883
Nº Comentários,0.33878234456970874,1.0,-0.09866893528870645
Aceitabilidade,-0.07333294821668883,-0.09866893528870645,1.0
