Repositório,Estrelas,Data da última release,Dias desde última release,Mediana
istio,36504,2025-02-14T02:12:55Z,"6 days, 12:21:37.505296",35
photoprism,36484,2024-09-15T22:57:42Z,"157 days, 15:36:50.505296",35.0
GFPGAN,36341,2022-09-16T11:35:50Z,"888 days, 2:58:42.505296",35
novu,36310,2025-02-07T14:49:01Z,"12 days, 23:45:31.505296",35.0
gradio,36218,2025-02-19T20:01:10Z,18:33:22.505296,35
OpenBB,36212,2025-02-12T22:55:54Z,"7 days, 15:38:38.505296",34.5
aspnetcore,36107,2025-02-11T21:48:27Z,"8 days, 16:46:05.505296",34
taro,36085,2025-01-13T10:19:00Z,"38 days, 4:15:32.505296",34.5
Files,36075,2025-02-06T23:01:47Z,"13 days, 15:32:45.505296",34
v,36071,2025-02-17T21:50:39Z,"2 days, 16:43:53.505296",34.0
trpc,36070,2024-01-12T13:50:09Z,"405 days, 0:44:23.505296",34
deeplearningbook-chinese,36067,2017-03-15T14:51:34Z,"2898 days, 23:42:58.505296",34.5
tesseract.js,36029,2025-01-07T17:27:47Z,"43 days, 21:06:45.505296",35
wtfpython,36028,2019-12-21T17:10:16Z,"1887 days, 21:24:16.505296",35.0
arthas,35991,2024-11-20T14:57:59Z,"91 days, 23:36:33.505296",35
ruff,35978,2025-02-20T13:51:39Z,0:42:53.505296,35.0
helix,35960,2025-01-19T21:31:02Z,"31 days, 17:03:30.505296",35
wtfjs,35949,2022-09-30T11:42:47Z,"874 days, 2:51:45.505296",35.0
pandoc,35919,2025-02-09T22:11:29Z,"10 days, 16:23:03.505296",35
lerna,35840,2025-02-19T15:55:16Z,22:39:16.505296,34.5
MockingBird,35813,2021-11-07T13:53:53Z,"1201 days, 0:40:39.505296",35
appsmith,35717,2025-02-19T09:48:52Z,"1 day, 4:45:40.505296",34.5
insomnia,35691,2025-02-11T10:00:54Z,"9 days, 4:33:38.505296",34
zod,35669,2025-02-11T22:53:57Z,"8 days, 15:40:35.505296",34.0
fd,35631,2024-08-23T06:36:39Z,"181 days, 7:57:53.505296",34
ray,35535,2025-02-11T22:21:54Z,"8 days, 16:12:38.505296",34.0
daisyui,35504,2024-12-26T17:00:39Z,"55 days, 21:33:53.505296",34
shadowsocks-android,35485,2024-10-07T02:13:51Z,"136 days, 12:20:41.505296",34.5
googletest,35470,2025-02-07T17:37:54Z,"12 days, 20:56:38.505296",34
gym,35426,2022-10-04T16:39:12Z,"869 days, 21:55:20.505296",34.5
fullPage.js,35389,2025-01-27T18:51:56Z,"23 days, 19:42:36.505296",34
koa,35347,2025-02-12T14:12:11Z,"8 days, 0:22:21.505296",34.0
date-fns,35330,2024-09-17T04:38:26Z,"156 days, 9:56:06.505296",34
Flowise,35330,2025-02-04T11:09:57Z,"16 days, 3:24:35.505296",34.0
spotube,35234,2024-12-08T18:47:22Z,"73 days, 19:47:10.505296",34
lottie-android,35200,2024-12-16T18:53:49Z,"65 days, 19:40:43.505296",34.5
nativefier,35084,2023-08-25T18:12:43Z,"544 days, 20:21:49.505296",35
fiber,35063,2024-12-31T17:12:37Z,"50 days, 21:21:55.505296",35.0
upscayl,35007,2024-12-25T13:44:34Z,"57 days, 0:49:58.505296",35
logseq,34984,2024-04-23T14:00:38Z,"303 days, 0:33:54.505296",35.5
hackathon-starter,34982,2025-02-01T17:57:00Z,"18 days, 20:37:32.505296",35
lapce,34981,2024-08-24T19:31:13Z,"179 days, 19:03:19.505296",35.5
slidev,34968,2025-02-19T15:55:18Z,22:39:14.505296,35
Pake,34943,2025-01-06T12:32:38Z,"45 days, 2:01:54.505296",35.5
carbon,34907,2022-06-13T04:03:37Z,"983 days, 10:30:55.505296",36
typeorm,34894,2024-01-26T11:22:33Z,"391 days, 3:11:59.505296",36.0
cli,34813,2024-11-01T17:33:07Z,"110 days, 21:01:25.505296",36
chatgpt-on-wechat,34801,2024-12-13T08:16:50Z,"69 days, 6:17:42.505296",37.0
glide,34786,2023-09-26T17:19:44Z,"512 days, 21:14:48.505296",38
halo,34780,2025-01-24T10:47:38Z,"27 days, 3:46:54.505296",37.0
compose,34769,2025-02-12T07:51:55Z,"8 days, 6:42:37.505296",36
ToolJet,34749,2025-02-07T09:17:02Z,"13 days, 5:17:30.505296",36.0
ccxt,34672,2025-02-18T18:34:13Z,"1 day, 20:00:19.505296",36
ChatTTS,34547,2025-02-18T06:24:55Z,"2 days, 8:09:37.505296",35.5
vim-plug,34546,2024-07-09T11:19:22Z,"226 days, 3:15:10.505296",36
HanLP,34441,2025-01-13T01:19:55Z,"38 days, 13:14:37.505296",36.0
caffe,34228,2017-04-18T18:48:04Z,"2864 days, 19:46:28.505296",36
formik,34148,2024-04-24T22:23:02Z,"301 days, 16:11:30.505296",37.0
cal.com,34142,2025-02-19T22:44:05Z,15:50:27.505296,36
clipboard.js,34108,2022-05-04T17:59:25Z,"1022 days, 20:35:07.505296",37.0
12306,34010,2019-12-06T03:25:07Z,"1903 days, 11:09:25.505296",38
nushell,33934,2025-02-05T04:39:37Z,"15 days, 9:54:55.505296",37.0
marked,33897,2025-02-10T00:04:53Z,"10 days, 14:29:39.505296",36
spacedrive,33889,2024-08-18T03:46:37Z,"186 days, 10:47:55.505296",37.0
jieba,33707,2020-01-20T14:23:50Z,"1858 days, 0:10:42.505296",38
react-beautiful-dnd,33668,2022-08-30T04:17:59Z,"905 days, 10:16:33.505296",38.0
shadowsocks,33602,2017-01-02T07:22:32Z,"2971 days, 7:12:00.505296",38
Langchain-Chatchat,33562,2024-07-12T15:23:05Z,"222 days, 23:11:27.505296",38.0
AndroidUtilCode,33455,2022-10-14T16:57:39Z,"859 days, 21:36:53.505296",38
sqlmap,33359,2025-01-02T00:10:45Z,"49 days, 14:23:47.505296",38.5
AFNetworking,33351,2020-04-20T02:22:29Z,"1767 days, 12:12:03.505296",39
LeetCode-Go,33337,2021-06-20T08:35:15Z,"1341 days, 5:59:17.505296",40.0
brackets,33232,2020-04-06T06:09:32Z,"1781 days, 8:25:00.505296",41
pytorch-image-models,33221,2025-01-19T23:05:30Z,"31 days, 15:29:02.505296",40.0
XX-Net,33166,2024-06-11T04:53:12Z,"254 days, 9:41:20.505296",41
framework,33149,2025-02-19T21:54:56Z,16:39:36.505296,40.0
husky,33119,2024-11-18T15:27:39Z,"93 days, 23:06:53.505296",41
windows,33116,2025-02-15T03:50:37Z,"5 days, 10:43:55.505296",40.0
faiss,33113,2025-01-31T23:29:10Z,"19 days, 15:05:22.505296",39
easyexcel,33108,2024-09-11T12:39:32Z,"162 days, 1:55:00.505296",40.0
gulp,33082,2024-03-29T02:56:53Z,"328 days, 11:37:39.505296",41
zxing,33067,2024-01-31T00:46:09Z,"386 days, 13:48:23.505296",41.5
fastify,33063,2025-01-06T08:16:24Z,"45 days, 6:18:08.505296",42
node,33051,2025-01-31T13:12:47Z,"20 days, 1:21:45.505296",41.5
solid,33025,2024-09-24T21:32:04Z,"148 days, 17:02:28.505296",42
immutable-js,33020,2024-11-19T14:47:56Z,"92 days, 23:46:36.505296",42.0
leetcode,33012,2025-02-20T01:33:33Z,13:00:59.505296,42
NewPipe,32973,2025-02-05T13:50:43Z,"15 days, 0:43:49.505296",41.5
AgentGPT,32906,2023-11-02T00:14:25Z,"476 days, 14:20:07.505296",42
linux-command,32816,2024-09-03T07:25:10Z,"170 days, 7:09:22.505296",42.0
ShadowsocksX-NG,32635,2024-10-29T12:32:05Z,"114 days, 2:02:27.505296",42
poetry,32604,2025-02-16T21:04:55Z,"3 days, 17:29:37.505296",42.0
milvus,32575,2025-01-24T02:30:17Z,"27 days, 12:04:15.505296",42
payload,32563,2025-02-19T18:44:12Z,19:50:20.505296,41.5
plane,32467,2024-12-10T16:22:15Z,"71 days, 22:12:17.505296",42
harness,32460,2025-01-15T06:33:25Z,"36 days, 8:01:07.505296",41.5
legado,32455,2024-08-16T04:49:21Z,"188 days, 9:45:11.505296",42
material-design-lite,32291,2016-12-21T13:54:28Z,"2983 days, 0:40:04.505296",42.0
portainer,32035,2025-02-19T21:48:32Z,16:46:00.505296,42
certbot,31941,2025-02-11T21:15:05Z,"8 days, 17:19:27.505296",41.5
polars,31928,2025-02-08T11:20:15Z,"12 days, 3:14:17.505296",41
openpose,31900,2020-11-17T05:48:13Z,"1556 days, 8:46:19.505296",41.5
HEU_KMS_Activator,31858,2025-01-02T11:33:53Z,"49 days, 3:00:39.505296",42
chatgpt-web,31834,2023-10-11T08:18:46Z,"498 days, 6:15:46.505296",42.0
beego,31833,2024-12-12T13:46:43Z,"70 days, 0:47:49.505296",42
vault,31798,2025-01-30T14:18:52Z,"21 days, 0:15:40.505296",42.0
my-tv,31779,2024-06-20T06:24:59Z,"245 days, 8:09:33.505296",42
swc,31701,2025-02-19T06:16:19Z,"1 day, 8:18:13.505296",42.0
mattermost,31690,2025-02-19T07:27:01Z,"1 day, 7:07:31.505296",42
selenium,31623,2025-02-20T12:14:50Z,2:19:42.505296,41.5
AnotherRedisDesktopManager,31570,2024-12-28T07:34:41Z,"54 days, 6:59:51.505296",42
chatbox,31509,2025-01-14T13:29:06Z,"37 days, 1:05:26.505296",41.5
RevokeMsgPatcher,31490,2024-11-06T16:43:03Z,"105 days, 21:51:29.505296",42
graphql-engine,31362,2024-12-06T14:31:50Z,"76 days, 0:02:42.505296",42.0
jax,31351,2025-01-17T18:27:26Z,"33 days, 20:07:06.505296",42
awesome-docker,31325,2015-08-07T09:46:02Z,"3485 days, 4:48:30.505296",42.0
nps,31281,2021-04-08T06:32:17Z,"1414 days, 8:02:15.505296",42
detectron2,31257,2021-11-15T22:08:26Z,"1192 days, 16:26:06.505296",42.0
yew,31247,2023-09-29T11:14:55Z,"510 days, 3:19:37.505296",42
bruno,31236,2025-02-20T15:50:13Z,"-1 day, 22:44:19.505296",42.0
jq,31230,2023-12-13T19:56:17Z,"434 days, 18:38:15.505296",42
swr,31055,2025-02-05T17:03:39Z,"14 days, 21:30:53.505296",42.0
fairseq,31020,2022-06-27T19:32:58Z,"968 days, 19:01:34.505296",42
html2canvas,30992,2022-01-22T16:43:04Z,"1124 days, 21:51:28.505296",42.0
llvm-project,30988,2025-01-14T13:40:12Z,"37 days, 0:54:20.505296",42
spaCy,30956,2024-12-11T13:11:38Z,"71 days, 1:22:54.505296",42.0
unsloth,30923,2025-02-06T14:47:50Z,"13 days, 23:46:42.505296",42
ShareX,30889,2025-01-08T02:16:28Z,"43 days, 12:18:04.505296",42.0
nacos,30868,2025-01-21T03:11:26Z,"30 days, 11:23:06.505296",42
pnpm,30825,2025-02-16T21:58:44Z,"3 days, 16:35:48.505296",42.0
aseprite,30808,2025-01-28T17:19:40Z,"22 days, 21:14:52.505296",42
remix,30763,2025-01-30T17:56:22Z,"20 days, 20:38:10.505296",42.0
floating-ui,30686,2025-02-07T08:26:29Z,"13 days, 6:08:03.505296",42
etcher,30640,2024-10-10T10:04:15Z,"133 days, 4:30:17.505296",42.0
WxJava,30558,2025-01-03T12:10:41Z,"48 days, 2:23:51.505296",42
LocalAI,30532,2025-02-15T17:22:53Z,"4 days, 21:11:39.505296",42.0
outline,30521,2025-02-15T15:18:04Z,"4 days, 23:16:28.505296",42
echo,30492,2024-12-19T04:54:02Z,"63 days, 9:40:30.505296",42.0
v2ray-core,30434,2025-02-10T20:42:40Z,"9 days, 17:51:52.505296",42
slate,30387,2025-01-30T23:08:59Z,"20 days, 15:25:33.505296",41.5
YesPlayMusic,30358,2024-11-08T11:55:11Z,"104 days, 2:39:21.505296",42
lede,30338,2023-06-08T19:19:39Z,"622 days, 19:14:53.505296",42.0
CyberChef,30311,2024-10-23T15:19:30Z,"119 days, 23:15:02.505296",42
rufus,30306,2024-10-21T15:21:37Z,"121 days, 23:12:55.505296",42.0
mmdetection,30292,2024-01-05T06:24:15Z,"412 days, 8:10:17.505296",42
cline,30249,2025-02-19T17:41:02Z,20:53:30.505296,42.0
browser-use,30085,2025-02-13T02:39:37Z,"7 days, 11:54:55.505296",42
Sortable,30071,2024-11-28T18:21:08Z,"83 days, 20:13:24.505296",42.0
symfony,30039,2025-01-29T07:46:15Z,"22 days, 6:48:17.505296",42
manim,30013,2025-01-20T13:55:40Z,"31 days, 0:38:52.505296",42.0
layui,29976,2025-02-19T15:49:52Z,22:44:40.505296,42
winutil,29955,2025-01-11T17:25:08Z,"39 days, 21:09:24.505296",41.5
full-stack-fastapi-template,29948,2025-02-19T12:22:02Z,"1 day, 2:12:30.505296",41
webtorrent,29941,2025-02-05T12:11:46Z,"15 days, 2:22:46.505296",40.0
minikube,29935,2025-01-16T01:12:16Z,"35 days, 13:22:16.505296",39
go-zero,29933,2025-01-28T16:48:03Z,"22 days, 21:46:29.505296",39.0
dokku,29930,2025-01-25T23:17:09Z,"25 days, 15:17:23.505296",39
refine,29924,2025-01-10T09:24:40Z,"41 days, 5:09:52.505296",39.0
tabby,29907,2025-02-20T15:23:27Z,"-1 day, 23:11:05.505296",39
sharp,29890,2024-08-16T12:32:19Z,"188 days, 2:02:13.505296",39.0
sequelize,29787,2024-10-25T12:30:39Z,"118 days, 2:03:53.505296",39
jsPDF,29771,2025-02-19T09:39:09Z,"1 day, 4:55:23.505296",39.0
vue-cli,29756,2022-07-07T11:46:48Z,"959 days, 2:47:44.505296",39
mpv,29728,2024-09-23T17:38:39Z,"149 days, 20:55:53.505296",40.0
foundation-sites,29719,2024-09-27T20:00:30Z,"145 days, 18:34:02.505296",41
Real-ESRGAN,29695,2022-09-20T11:58:18Z,"884 days, 2:36:14.505296",41.0
fabric.js,29660,2025-02-16T20:40:26Z,"3 days, 17:54:06.505296",41
Reactive-Resume,29648,2025-01-30T16:57:47Z,"20 days, 21:36:45.505296",40.0
lossless-cut,29643,2024-11-01T12:27:41Z,"111 days, 2:06:51.505296",41
bubbletea,29637,2025-02-11T15:31:27Z,"8 days, 23:03:05.505296",40.0
Umi-OCR,29598,2024-08-31T09:39:09Z,"173 days, 4:55:23.505296",41
union,29590,2025-01-18T02:45:18Z,"33 days, 11:49:14.505296",40.0
leakcanary,29556,2024-06-04T19:50:12Z,"260 days, 18:44:20.505296",41
editor.js,29553,2024-12-21T14:33:54Z,"61 days, 0:00:38.505296",41.0
influxdb,29527,2024-12-02T20:08:50Z,"79 days, 18:25:42.505296",41
hutool,29523,2025-02-18T07:29:07Z,"2 days, 7:05:25.505296",41.0
react-boilerplate,29511,2019-04-18T17:48:51Z,"2134 days, 20:45:41.505296",41
uppy,29508,2025-02-03T14:30:51Z,"17 days, 0:03:41.505296",41.0
siyuan,29502,2025-02-14T08:05:16Z,"6 days, 6:29:16.505296",41
netron,29414,2025-02-14T13:59:41Z,"6 days, 0:34:51.505296",40.0
stats,29390,2025-02-16T14:57:02Z,"3 days, 23:37:30.505296",39
OpenAPI-Specification,29385,2024-10-24T17:37:48Z,"118 days, 20:56:44.505296",40.0
fabric,29380,2025-01-30T00:50:57Z,"21 days, 13:43:35.505296",39
Mr.-Ranedeer-AI-Tutor,29361,2023-11-09T22:42:32Z,"468 days, 15:52:00.505296",40.0
backstage,29358,2025-02-18T17:18:44Z,"1 day, 21:15:48.505296",39
particles.js,29335,2015-05-09T22:11:26Z,"3574 days, 16:23:06.505296",40.0
Hover,29335,2018-04-16T14:12:04Z,"2502 days, 0:22:28.505296",41
apollo,29332,2025-02-07T12:41:21Z,"13 days, 1:53:11.505296",40.0
roop,29326,2023-08-03T07:21:47Z,"567 days, 7:12:45.505296",41
tqdm,29299,2024-11-27T19:23:27Z,"84 days, 19:11:05.505296",41.0
standard,29259,2024-09-13T12:49:11Z,"160 days, 1:45:21.505296",41
ruoyi-vue-pro,29228,2025-02-09T04:55:39Z,"11 days, 9:38:53.505296",41.0
algo,29200,2019-07-31T15:45:16Z,"2030 days, 22:49:16.505296",41
rocksdb,29163,2025-01-02T18:31:00Z,"48 days, 20:03:32.505296",41.5
directus,29124,2025-02-04T19:36:21Z,"15 days, 18:58:11.505296",41
cheerio,29097,2024-08-09T19:02:23Z,"194 days, 19:32:09.505296",41.5
alpine,29060,2024-12-23T14:59:22Z,"58 days, 23:35:10.505296",42
MonitorControl,29030,2024-10-04T10:56:14Z,"139 days, 3:38:18.505296",42.0
pytorch-lightning,29014,2024-12-21T01:35:39Z,"61 days, 12:58:53.505296",42
folly,28995,2025-02-17T16:03:51Z,"2 days, 22:30:41.505296",42.0
weekly,28939,2024-06-13T11:50:44Z,"252 days, 2:43:48.505296",42
tiptap,28870,2025-01-31T09:28:56Z,"20 days, 5:05:36.505296",42.0
numpy,28862,2025-02-13T17:26:34Z,"6 days, 21:07:58.505296",42
k3s,28831,2025-01-28T16:21:53Z,"22 days, 22:12:39.505296",41.5
composer,28829,2025-01-21T14:29:50Z,"30 days, 0:04:42.505296",41
canal,28818,2025-01-16T09:24:14Z,"35 days, 5:10:18.505296",41.0
django-rest-framework,28814,2024-12-28T10:24:43Z,"54 days, 4:09:49.505296",41
croc,28795,2024-12-31T16:57:47Z,"50 days, 21:36:45.505296",41.5
docsify,28773,2023-06-24T07:36:07Z,"607 days, 6:58:25.505296",42
surrealdb,28729,2025-02-18T17:13:37Z,"1 day, 21:20:55.505296",41.5
todomvc,28728,2024-01-16T23:35:23Z,"400 days, 14:59:09.505296",42
lux,28707,2024-05-06T01:32:39Z,"290 days, 13:01:53.505296",42.0
lighthouse,28701,2024-12-13T00:06:08Z,"69 days, 14:28:24.505296",42
consul,28692,2025-02-20T15:40:59Z,"-1 day, 22:53:33.505296",42.0
postcss,28664,2025-02-19T13:45:40Z,"1 day, 0:48:52.505296",42
server,28655,2025-02-13T15:01:13Z,"6 days, 23:33:19.505296",41.5
mediapipe,28645,2025-02-07T22:57:15Z,"12 days, 15:37:17.505296",41
CasaOS,28607,2024-12-19T03:19:49Z,"63 days, 11:14:43.505296",41.5
slick,28599,2017-09-12T11:17:37Z,"2718 days, 3:16:55.505296",42
linkedin-skill-assessments-quizzes,28575,2021-02-03T11:52:47Z,"1478 days, 2:41:45.505296",42.0
k9s,28555,2025-02-18T16:02:56Z,"1 day, 22:31:36.505296",42
react-spring,28468,2024-10-07T07:37:57Z,"136 days, 6:56:35.505296",42.0
vuex,28456,2021-06-17T15:52:07Z,"1343 days, 22:42:25.505296",42
plyr,28328,2023-03-24T12:05:56Z,"699 days, 2:28:36.505296",42.0
xxl-job,28313,2025-02-06T21:20:18Z,"13 days, 17:14:14.505296",42
spring-cloud-alibaba,28237,2024-12-12T02:07:20Z,"70 days, 12:27:12.505296",42.0
async,28224,2017-04-06T21:32:14Z,"2876 days, 17:02:18.505296",42
UTM,28218,2024-12-23T16:51:46Z,"58 days, 21:42:46.505296",42.0
react-three-fiber,28217,2025-02-20T06:52:47Z,7:41:45.505296,42
puter,28155,2025-02-14T02:58:08Z,"6 days, 11:36:24.505296",42.0
immer,28088,2024-04-27T20:07:27Z,"298 days, 18:27:05.505296",42
trilium,28086,2024-05-30T05:08:00Z,"266 days, 9:26:32.505296",42.0
druid,28069,2024-05-26T00:31:29Z,"270 days, 14:03:03.505296",42
tinygrad,28065,2025-02-05T03:26:55Z,"15 days, 11:07:37.505296",42.0
ChatGPT,28057,2023-07-20T05:28:31Z,"581 days, 9:06:01.505296",42
DevToys,28043,2023-07-25T14:23:58Z,"576 days, 0:10:34.505296",42.5
fish-shell,28017,2024-03-19T05:29:28Z,"338 days, 9:05:04.505296",43
tokio,27962,2025-01-08T15:59:01Z,"42 days, 22:35:31.505296",42.5
filebrowser,27907,2025-01-31T08:57:41Z,"20 days, 5:36:51.505296",42
viper,27876,2024-06-02T07:18:58Z,"263 days, 7:15:34.505296",42.5
react-select,27827,2025-01-24T15:55:53Z,"26 days, 22:38:39.505296",42
xstate,27821,2025-02-14T12:26:30Z,"6 days, 2:08:02.505296",42.0
mantine,27819,2025-02-17T16:42:54Z,"2 days, 21:51:38.505296",42
glances,27762,2025-01-05T13:55:13Z,"46 days, 0:39:19.505296",42.0
waifu2x,27751,2018-11-18T11:21:02Z,"2286 days, 3:13:30.505296",42
xyflow,27749,2025-02-12T16:04:20Z,"7 days, 22:30:12.505296",42.0
medusa,27740,2025-02-11T11:25:41Z,"9 days, 3:08:51.505296",42
Charts,27738,2024-02-16T04:08:54Z,"370 days, 10:25:38.505296",42.0
mobx,27735,2025-01-30T19:24:31Z,"20 days, 19:10:01.505296",42
restic,27669,2024-11-08T19:52:25Z,"103 days, 18:42:07.505296",42.0
ink,27650,2024-11-25T09:21:25Z,"87 days, 5:13:07.505296",42
90DaysOfDevOps,27650,2022-01-11T22:24:56Z,"1135 days, 16:09:36.505296",42.5
DeepFaceLive,27644,2023-01-21T09:26:53Z,"761 days, 5:07:39.505296",43
jan,27640,2025-02-18T07:34:03Z,"2 days, 7:00:29.505296",42.5
aider,27618,2025-02-06T22:43:06Z,"13 days, 15:51:26.505296",42
diffusers,27595,2025-01-15T16:46:08Z,"35 days, 21:48:24.505296",42.0
gitbook,27566,2025-02-20T07:38:55Z,6:55:37.505296,42
hosts,27516,2025-02-17T19:05:29Z,"2 days, 19:29:03.505296",42.0
yapi,27497,2021-07-09T09:37:47Z,"1322 days, 4:56:45.505296",42
helm,27476,2025-02-12T21:01:05Z,"7 days, 17:33:27.505296",42.0
textual,27439,2025-02-19T15:53:02Z,22:41:30.505296,42
python-fire,27412,2024-10-01T14:23:14Z,"142 days, 0:11:18.505296",42.0
vnpy,27377,2024-12-26T04:52:34Z,"56 days, 9:41:58.505296",42
Xray-core,27272,2025-01-30T10:58:55Z,"21 days, 3:35:37.505296",42.0
weui,27256,2024-12-23T10:01:38Z,"59 days, 4:32:54.505296",42
mindsdb,27230,2025-02-18T14:45:06Z,"1 day, 23:49:26.505296",42.0
Jobs_Applier_AI_Agent_AIHawk,27216,2024-11-15T14:38:56Z,"96 days, 23:55:36.505296",42
Retrieval-based-Voice-Conversion-WebUI,27154,2024-06-05T06:45:23Z,"260 days, 7:49:09.505296",42.0
dragonfly,27151,2025-02-12T10:27:39Z,"8 days, 4:06:53.505296",42
dnSpy,27113,2020-12-07T21:21:10Z,"1535 days, 17:13:22.505296",42.0
it-tools,27106,2024-10-22T09:58:03Z,"121 days, 4:36:29.505296",42
mongoose,27102,2025-02-14T16:57:47Z,"5 days, 21:36:45.505296",42.0
firecracker,27085,2024-11-13T10:56:54Z,"99 days, 3:37:38.505296",42
commander.js,27057,2025-01-20T23:31:01Z,"30 days, 15:03:31.505296",42.0
AdGuardHome,27047,2025-02-20T14:58:55Z,"-1 day, 23:35:37.505296",42
turborepo,27024,2025-02-12T22:30:05Z,"7 days, 16:04:27.505296",42.0
python-telegram-bot,26991,2025-01-03T11:14:09Z,"48 days, 3:20:23.505296",42
tdesktop,26975,2025-02-13T19:43:21Z,"6 days, 18:51:11.505296",42.0
codemirror5,26954,2024-09-20T11:19:17Z,"153 days, 3:15:15.505296",42
swagger-ui,26950,2025-02-17T16:43:54Z,"2 days, 21:50:38.505296",42.0
redash,26937,2025-01-08T19:06:48Z,"42 days, 19:27:44.505296",42
wails,26865,2025-02-14T22:13:46Z,"5 days, 16:20:46.505296",42.0
ace,26861,2025-02-12T09:12:11Z,"8 days, 5:22:21.505296",42
crewAI,26860,2025-02-13T01:07:29Z,"7 days, 13:27:03.505296",42.0
rethinkdb,26850,2023-12-11T01:42:50Z,"437 days, 12:51:42.505296",42
Avalonia,26832,2025-02-15T09:29:51Z,"5 days, 5:04:41.505296",42.0
kit,26827,2023-08-25T14:22:38Z,"545 days, 0:11:54.505296",42
angular-cli,26826,2025-02-19T20:20:34Z,18:13:58.505296,42.0
headlessui,26807,2025-02-06T13:22:42Z,"14 days, 1:11:50.505296",42
Faker,26795,2020-12-11T09:58:59Z,"1532 days, 4:35:33.505296",42.0
k6,26785,2025-02-13T12:35:17Z,"7 days, 1:59:15.505296",42
vue-vben-admin,26762,2025-01-21T14:08:51Z,"30 days, 0:25:41.505296",42.0
taichi,26749,2024-12-23T08:01:30Z,"59 days, 6:33:02.505296",42
openssl,26726,2025-02-11T14:46:40Z,"8 days, 23:47:52.505296",42.0
fastai,26648,2024-10-19T03:20:13Z,"124 days, 11:14:19.505296",42
firecrawl,26624,2025-02-20T16:44:21Z,"-1 day, 21:50:11.505296",42.0
xgboost,26610,2025-02-06T18:23:31Z,"13 days, 20:11:01.505296",42
anoma,26609,2025-01-13T18:44:34Z,"37 days, 19:49:58.505296",41.5
duckdb,26608,2025-02-05T13:57:07Z,"15 days, 0:37:25.505296",41
react-virtualized,26608,2025-01-20T21:42:46Z,"30 days, 16:51:46.505296",41.0
Rectangle,26504,2025-02-05T05:29:16Z,"15 days, 9:05:16.505296",41
vagrant,26490,2024-11-12T21:54:05Z,"99 days, 16:40:27.505296",41.0
nodemon,26458,2024-12-13T11:49:01Z,"69 days, 2:45:31.505296",41
cascadia-code,26445,2024-11-27T16:20:51Z,"84 days, 22:13:41.505296",41.5
create-t3-app,26395,2024-11-04T09:35:08Z,"108 days, 4:59:24.505296",42
spleeter,26393,2021-09-03T09:59:00Z,"1266 days, 4:35:32.505296",42.0
srs,26392,2024-06-15T10:10:00Z,"250 days, 4:24:32.505296",42
drizzle-orm,26389,2025-02-10T16:46:57Z,"9 days, 21:47:35.505296",42.0
vscodium,26388,2025-02-14T18:15:35Z,"5 days, 20:18:57.505296",42
kitty,26364,2025-02-01T07:55:21Z,"19 days, 6:39:11.505296",41.5
GoodbyeDPI,26356,2022-03-21T11:19:44Z,"1067 days, 3:14:48.505296",42
khoj,26314,2025-02-18T13:24:59Z,"2 days, 1:09:33.505296",41.5
quasar,26277,2025-01-18T13:05:18Z,"33 days, 1:29:14.505296",41
nprogress,26247,2020-04-19T01:22:08Z,"1768 days, 13:12:24.505296",41.5
ChatDev,26208,2024-11-12T08:48:09Z,"100 days, 5:46:23.505296",42
cmder,26185,2024-05-31T15:27:33Z,"264 days, 23:06:59.505296",42.0
Signal-Android,26112,2025-02-18T21:38:50Z,"1 day, 16:55:42.505296",42
jumpserver,26101,2025-02-20T08:00:58Z,6:33:34.505296,41.5
MinerU,26076,2025-01-23T10:01:54Z,"28 days, 4:32:38.505296",41
fastText,26072,2020-04-28T09:51:33Z,"1759 days, 4:42:59.505296",41.5
nginx,26057,2025-02-05T20:00:07Z,"14 days, 18:34:25.505296",41
ExplorerPatcher,26049,2024-11-02T13:44:53Z,"110 days, 0:49:39.505296",41.5
lottie-ios,26044,2025-01-03T20:38:35Z,"47 days, 17:55:57.505296",42
next-auth,26007,2024-11-16T11:03:29Z,"96 days, 3:31:03.505296",42.0
hacker-laws,25953,2020-10-01T10:16:18Z,"1603 days, 4:18:14.505296",42
select2,25949,2020-01-28T05:09:09Z,"1850 days, 9:25:23.505296",42.0
ItChat,25944,2017-07-16T04:51:38Z,"2776 days, 9:42:54.505296",42
DeepSpeech,25896,2020-12-10T15:58:47Z,"1532 days, 22:35:45.505296",42.0
fonts,25894,2015-12-04T14:50:49Z,"3365 days, 23:43:43.505296",42
table,25832,2025-02-11T21:00:50Z,"8 days, 17:33:42.505296",42.0
everyone-can-use-english,25825,2025-01-15T06:51:00Z,"36 days, 7:43:32.505296",42
refined-github,25810,2025-02-17T07:52:30Z,"3 days, 6:42:02.505296",42.0
Telegram,25808,2024-11-20T14:20:11Z,"92 days, 0:14:21.505296",42
fyne,25800,2025-02-06T21:14:36Z,"13 days, 17:19:56.505296",42.0
fastjson,25778,2022-05-23T01:10:31Z,"1004 days, 13:24:01.505296",42
awesome-datascience,25771,2025-01-02T19:23:13Z,"48 days, 19:11:19.505296",42.0
fetch,25766,2023-12-13T23:12:38Z,"434 days, 15:21:54.505296",42
iced,25725,2024-09-19T05:26:52Z,"154 days, 9:07:40.505296",42.0
Modernizr,25716,2024-08-06T07:47:04Z,"198 days, 6:47:28.505296",42
