Repositório,Estrelas,Data da última release,Dias desde última release,Mediana
Font-Awesome,74672,2024-12-16T21:32:58Z,"65 days, 17:01:34.505296",24.5
json-server,73665,2024-09-24T13:21:29Z,"149 days, 1:13:03.505296",25
netdata,73541,2025-02-12T15:27:24Z,"7 days, 23:07:08.505296",24.5
gpt4all,72541,2025-02-05T00:12:41Z,"15 days, 14:21:51.505296",24
elasticsearch,71679,2025-02-11T13:31:16Z,"9 days, 1:03:16.505296",23.5
vite,70803,2025-02-19T09:07:59Z,"1 day, 5:26:33.505296",23
dify,70077,2025-02-07T07:20:50Z,"13 days, 7:13:42.505296",22.5
code-server,69907,2025-02-18T19:16:20Z,"1 day, 19:18:12.505296",22
Front-End-Checklist,69589,2018-07-17T14:41:47Z,"2409 days, 23:52:45.505296",22.5
nest,69518,2025-02-17T11:14:18Z,"3 days, 3:20:14.505296",22
playwright,69510,2025-01-31T16:33:00Z,"19 days, 22:01:32.505296",22.0
moby,69206,2025-02-20T01:23:15Z,13:11:17.505296,22
HowToCook,69144,2024-06-17T14:03:41Z,"248 days, 0:30:51.505296",22.0
flask,68855,2024-11-13T18:29:05Z,"98 days, 20:05:27.505296",22
node,68565,2025-02-19T21:33:55Z,17:00:37.505296,22.0
reveal.js,68382,2024-04-11T07:03:04Z,"315 days, 7:31:28.505296",22
hoppscotch,68325,2025-02-07T10:52:23Z,"13 days, 3:42:09.505296",22.0
swift,68139,2024-12-13T07:02:44Z,"69 days, 7:31:48.505296",22
fzf,68085,2025-02-20T12:46:34Z,1:47:58.505296,22.0
redis,68045,2025-01-06T14:19:57Z,"45 days, 0:14:35.505296",22
ComfyUI,67886,2025-02-05T20:59:40Z,"14 days, 17:34:52.505296",22.0
syncthing,67760,2025-01-12T15:45:05Z,"38 days, 22:49:27.505296",22
gpt_academic,67604,2024-12-19T14:28:53Z,"63 days, 0:05:39.505296",22.5
protobuf,66652,2025-01-08T21:06:48Z,"42 days, 17:27:44.505296",23
grafana,66564,2025-02-19T00:12:27Z,"1 day, 14:22:05.505296",22.5
express,66339,2024-12-05T22:41:41Z,"76 days, 15:52:51.505296",23
d2l-zh,65933,2022-12-08T00:57:42Z,"805 days, 13:36:50.505296",23.5
Chart.js,65358,2025-02-19T15:45:55Z,22:48:37.505296,23
strapi,65129,2025-02-19T13:44:57Z,"1 day, 0:49:35.505296",22.5
webpack,65045,2025-02-13T16:29:55Z,"6 days, 22:04:37.505296",22
Ventoy,64920,2025-02-12T15:29:04Z,"7 days, 23:05:28.505296",22.0
tesseract,64707,2024-11-10T19:29:48Z,"101 days, 19:04:44.505296",22
uptime-kuma,64657,2024-12-20T07:33:34Z,"62 days, 7:00:58.505296",22.5
superset,64563,2024-11-20T23:51:17Z,"91 days, 14:43:15.505296",23
ansible,64093,2025-01-27T20:02:01Z,"23 days, 18:32:31.505296",23.0
gpt4free,63619,2025-02-19T16:13:27Z,22:21:05.505296,23
PayloadsAllTheThings,63294,2024-12-04T11:10:42Z,"78 days, 3:23:50.505296",23.0
imgui,63291,2025-01-31T15:22:21Z,"19 days, 23:12:11.505296",23
keras,62585,2025-01-07T18:27:26Z,"43 days, 20:07:06.505296",23.0
sherlock,62533,2024-07-08T09:57:38Z,"227 days, 4:36:54.505296",23
sway,62455,2025-02-05T21:42:10Z,"14 days, 16:52:22.505296",23.0
obs-studio,62344,2025-01-18T19:19:44Z,"32 days, 19:14:48.505296",23
awesome-public-datasets,62076,2023-09-03T13:26:30Z,"536 days, 1:08:02.505296",23.5
tabby,61999,2025-01-22T23:34:26Z,"28 days, 15:00:06.505296",24
echarts,61937,2024-12-28T06:52:31Z,"54 days, 7:42:01.505296",24.5
n8n,61859,2025-02-20T08:57:53Z,5:36:39.505296,24
caddy,61767,2025-01-08T15:22:53Z,"42 days, 23:11:39.505296",24.5
socket.io,61640,2024-10-25T06:17:05Z,"118 days, 8:17:27.505296",25
nocode,61571,2018-02-07T01:48:37Z,"2570 days, 12:45:55.505296",26.5
scikit-learn,61173,2025-01-10T10:51:11Z,"41 days, 3:43:21.505296",28
redux,61064,2023-12-23T16:54:41Z,"424 days, 21:39:51.505296",29.0
SecLists,60855,2024-11-20T10:39:23Z,"92 days, 3:55:09.505296",30
AppFlowy,60787,2025-02-18T08:51:18Z,"2 days, 5:43:14.505296",29.0
cs-self-learning,60467,2023-12-16T04:36:29Z,"432 days, 9:58:03.505296",30
atom,60328,2022-03-08T09:58:25Z,"1080 days, 4:36:07.505296",31.0
lodash,60168,2016-01-12T22:35:11Z,"3326 days, 15:59:21.505296",32
markdown-here,59801,2024-11-10T01:16:33Z,"102 days, 13:17:59.505296",34.0
jquery,59399,2023-08-28T13:43:59Z,"542 days, 0:50:33.505296",36
shadowsocks-windows,58616,2022-02-08T11:03:16Z,"1108 days, 3:31:16.505296",37.0
immich,58527,2025-02-10T18:23:31Z,"9 days, 20:11:01.505296",36
docusaurus,58410,2025-01-03T18:02:24Z,"47 days, 20:32:08.505296",37.0
act,57869,2025-02-10T06:57:03Z,"10 days, 7:37:29.505296",36
localsend,57808,2025-02-20T01:23:55Z,13:10:37.505296,34.0
fuel-core,57798,2025-02-13T10:42:50Z,"7 days, 3:51:42.505296",32
localstack,57769,2025-02-05T09:45:50Z,"15 days, 4:48:42.505296",31.0
alacritty,57725,2025-02-16T20:58:16Z,"3 days, 17:36:16.505296",30
spring-framework,57358,2025-02-13T13:17:03Z,"7 days, 1:17:29.505296",29.0
prometheus,57339,2025-02-17T19:24:54Z,"2 days, 19:09:38.505296",28
html5-boilerplate,56777,2024-04-16T14:35:38Z,"309 days, 23:58:54.505296",29.0
lazygit,56751,2025-02-15T04:56:31Z,"5 days, 9:38:01.505296",28
rails,56487,2024-12-13T20:01:53Z,"68 days, 18:32:39.505296",29.0
rustlings,56458,2024-11-11T14:58:05Z,"100 days, 23:36:27.505296",30
nerd-fonts,56427,2024-11-18T12:43:12Z,"94 days, 1:51:20.505296",31.0
nuxt,56176,2025-01-29T08:07:22Z,"22 days, 6:27:10.505296",30
lobe-chat,55863,2025-02-20T08:12:10Z,6:22:22.505296,29.0
gatsby,55734,2024-11-06T20:17:17Z,"105 days, 18:17:15.505296",30
private-gpt,55266,2024-08-08T16:16:58Z,"195 days, 22:17:34.505296",31.0
leetcode,55041,2022-04-16T17:37:09Z,"1040 days, 20:57:23.505296",32
you-get,54978,2025-01-04T01:58:50Z,"47 days, 12:35:42.505296",34.0
zed,54542,2025-02-19T21:48:10Z,16:46:22.505296,32
scrapy,54238,2024-11-18T08:43:50Z,"94 days, 5:50:42.505296",34.0
element,54185,2023-08-24T13:58:42Z,"546 days, 0:35:50.505296",36
face_recognition,54165,2018-04-02T17:18:43Z,"2515 days, 21:15:49.505296",37.0
react-router,54086,2025-02-18T20:10:18Z,"1 day, 18:24:14.505296",36
ghidra,54005,2025-02-19T20:01:59Z,18:32:33.505296,34.0
tldr,53671,2024-03-20T15:44:57Z,"336 days, 22:49:35.505296",36
ChatGPT,53624,2023-08-03T13:51:20Z,"567 days, 0:43:12.505296",37.0
traefik,53320,2025-01-31T15:03:54Z,"19 days, 23:30:38.505296",36
faceswap,53301,2020-08-14T17:28:01Z,"1650 days, 21:06:31.505296",37.0
gpt-engineer,53136,2024-06-06T18:25:22Z,"258 days, 20:09:10.505296",38
openpilot,52580,2024-06-14T18:05:53Z,"250 days, 20:28:39.505296",39.5
drawio-desktop,52565,2025-01-27T12:52:54Z,"24 days, 1:41:38.505296",38
requests,52530,2024-05-29T15:39:40Z,"266 days, 22:54:52.505296",39.5
yolov5,52461,2022-11-22T15:29:09Z,"820 days, 23:05:23.505296",41
mkcert,52345,2022-04-26T17:51:05Z,"1030 days, 20:43:27.505296",41.5
nocodb,52099,2025-02-20T12:03:41Z,2:30:51.505296,41
ionic-framework,51463,2025-01-29T18:56:50Z,"21 days, 19:37:42.505296",39.5
