Repositório,Estrelas,Issues Totais,Issues fechadas,Razão de issues fechadas,Mediana
cmder,26185,2281,2227,0.9763261727312582,0.8657187993680885
emscripten,26181,9528,7674,0.8054156171284634,0.8652562390167923
awesome-electron,26120,44,42,0.9545454545454546,0.8657187993680885
Signal-Android,26113,10993,10596,0.9638861093423088,0.8657453057243127
jumpserver,26101,6932,6854,0.9887478361223312,0.8657718120805369
MinerU,26079,987,930,0.9422492401215805,0.8660069251485487
fastText,26072,1077,611,0.5673166202414113,0.8657718120805369
nginx,26057,207,93,0.4492753623188406,0.8657453057243127
ExplorerPatcher,26051,2285,2054,0.8989059080962801,0.8657718120805369
lottie-ios,26044,1443,1416,0.9812889812889813,0.8660069251485487
darknet,26023,2373,561,0.23640960809102401,0.8657718120805369
next-auth,26009,4794,4481,0.9347100542344597,0.8660069251485487
awesome-vscode,26000,50,26,0.52,0.8657718120805369
hacker-laws,25953,210,71,0.3380952380952381,0.8657453057243127
select2,25949,4825,4718,0.9778238341968912,0.8657718120805369
ItChat,25944,905,623,0.6883977900552486,0.8657453057243127
go-patterns,25919,30,13,0.43333333333333335,0.8657187993680885
DeepSpeech,25896,2112,1986,0.9403409090909091,0.8657453057243127
fonts,25894,253,98,0.38735177865612647,0.8657187993680885
table,25833,2468,2273,0.9209886547811994,0.8657453057243127
everyone-can-use-english,25825,429,370,0.8624708624708625,0.8657187993680885
refined-github,25811,4323,4208,0.9733981031690956,0.8657453057243127
Telegram,25808,Sem dados,Sem dados,Sem dados,0.8657453057243127
fyne,25801,2987,2325,0.7783729494476063,0.8657187993680885
setup-ipsec-vpn,25798,1481,1481,1.0,0.8657453057243127
fastjson,25778,3630,1695,0.4669421487603306,0.8657187993680885
awesome-datascience,25771,60,59,0.9833333333333333,0.8657453057243127
fetch,25766,655,647,0.9877862595419847,0.8657718120805369
iced,25728,1156,862,0.745674740484429,0.8657453057243127
Modernizr,25716,1495,1324,0.88561872909699,0.8657718120805369
awesome-actions,25712,41,27,0.6585365853658537,0.8657453057243127
discord.js,25706,4050,3975,0.9814814814814815,0.8657718120805369
fe-interview,25702,6033,26,0.004309630366318581,0.8657453057243127
