Repositório,Estrelas,Total de Releases,Mediana
rails,56489,145,33.5
rustlings,56465,45,34
nerd-fonts,56432,37,34.5
nuxt,56175,234,35
lobe-chat,55867,1000,35.5
gatsby,55735,149,36
DeepLearning-500-questions,55411,0,35.5
private-gpt,55267,10,35
leetcode,55041,40,35.5
you-get,54981,123,36
awesome-flutter,54831,0,35.5
zed,54551,726,36
awesome-chatgpt-prompts-zh,54272,0,35.5
scrapy,54241,39,36
element,54185,145,36.5
face_recognition,54166,2,36
react-router,54088,293,36.5
ghidra,54020,42,37
leetcode-master,54005,0,36.5
tldr,53673,5,36
ChatGPT,53623,34,35.5
git,53585,0,35
Real-Time-Voice-Cloning,53556,0,34.5
Prompt-Engineering-Guide,53498,0,34
traefik,53326,459,34.5
faceswap,53301,4,34
gpt-engineer,53136,20,34.0
normalize.css,52795,0,34
openpilot,52583,55,34.0
drawio-desktop,52566,149,34
weekly,52561,0,34.0
requests,52530,12,34
yolov5,52461,10,33.5
mkcert,52347,14,33
nocodb,52104,162,33.5
hackingtool,51630,0,33
awesome-android-ui,51578,0,32.5
ionic-framework,51463,889,33
Stirling-PDF,51325,112,33.5
bat,51196,41,34
Semantic-UI,51147,154,34.0
material-design-icons,51128,16,34
project-layout,51084,0,33.5
Magisk,51011,143,34
anime,50908,15,33.5
rich,50823,168,34
guava,50535,48,34.0
ripgrep,50422,72,34
pi-hole,50421,109,34.5
zustand,50364,92,35
minio,50286,510,35.5
grok-1,50052,0,35
kotlin,50039,248,35.5
prettier,49983,122,36
uBlock,49804,273,36.5
pdf.js,49779,70,37
Docker-OSX,49747,0,36.5
jekyll,49629,112,37
github-cheat-sheet,49620,0,36.5
bulma,49584,21,36
dive,49564,26,35.5
meilisearch,49328,240,36
astro,49246,1000,36.5
DefinitelyTyped,49236,1,36
segment-anything,48940,0,35.5
rclone,48912,108,36
core,48864,238,36.5
awesome-rust,48769,0,36
langflow,48756,249,36.5
trackerslist,48727,0,36
chinese-poetry,48711,1,35.5
marktext,48587,36,36
Ghost,48450,844,36.0
etcd,48443,243,36
go-ethereum,48416,207,36.5
awesome-ios,48245,0,36
cypress,48240,358,36.5
moment,48071,0,36
RxJava,48022,235,36.5
hacker-scripts,47980,0,36
powerlevel10k,47974,33,36.0
FFmpeg,47907,0,36
clash-verge-rev,47868,42,36.0
joplin,47779,369,36
mastodon,47776,262,36.5
dayjs,47462,119,37
hiring-without-whiteboards,47440,0,36.5
professional-programming,47328,0,36
appwrite,47292,104,36.5
gitea,47203,205,37
OpenHands,47159,42,37.0
algorithm-visualizer,47146,0,37
ImHex,47146,76,37.0
starship,47111,134,37
big-list-of-naughty-strings,46969,0,37.0
first-contributions,46933,0,37
MetaGPT,46777,21,36.5
awesome-wechat-weapp,46748,0,36
llm-course,46746,0,36.0
Motrix,46711,21,36
serverless,46591,431,36.0
PaddleOCR,46574,16,36
PowerShell,46486,180,36.0
alist,46477,124,36
julia,46439,171,36.5
100-Days-Of-ML-Code,46433,0,36
okhttp,46154,0,36.0
design-patterns-for-humans,45972,0,36
react,45944,0,35.5
learn-regex,45891,0,35
AFFiNE,45835,418,35.5
Projects,45790,0,35
v2ray-core,45769,247,35.5
gogs,45502,82,36
x64dbg,45450,2,35.5
huginn,44962,1,35
architecture-samples,44778,0,34.5
quill,44656,95,35
pandas,44637,109,35.5
30-Days-Of-Python,44635,0,35
meteor,44567,0,34.5
pixijs,44556,283,35
jest,44530,203,35.5
json,44470,44,36
type-challenges,44424,0,35.5
AdminLTE,44340,75,36
terraform,44207,348,36.0
Deep-Live-Cam,44011,4,36
open-source-ios-apps,43981,37,36.0
30-Days-Of-JavaScript,43973,0,36
PythonDataScienceHandbook,43907,0,35.5
fuels-ts,43900,143,36
fuels-rs,43892,110,36.0
query,43872,1000,36
pocketbase,43847,193,36.5
hyper,43723,88,37
parcel,43664,39,37.0
htmx,43630,24,37
zx,43608,79,37.0
awesome-react-components,43591,0,37
TensorFlow-Examples,43533,0,36.5
build-web-application-with-golang,43436,0,36
babel,43422,426,36.5
Fooocus,43327,21,36
retrofit,43321,2,36.0
CppCoreGuidelines,43293,4,36
discourse,43272,0,35.5
frontend-dev-bookmarks,43242,1,35
jadx,42887,30,34.5
open-source-mac-os-apps,42828,0,34
awesome-java,42817,0,34.0
text-generation-webui,42577,58,34
brew,42576,411,34.5
react-use,42538,256,35
grpc,42474,337,35.5
react-hook-form,42466,563,36
kubernetes-the-hard-way,42385,0,35.5
front-end-interview-handbook,42372,0,35
lx-music-desktop,42370,109,35.5
Leaflet,42091,31,35
lazydocker,42033,42,35.5
git-flight-rules,42009,0,35
Rocket.Chat,41984,1000,35.5
vaultwarden,41938,69,36
pm2,41931,124,36.0
dbeaver,41834,218,36
awesome-cheatsheets,41668,0,36.0
Alamofire,41655,102,36
edex-ui,41610,29,36.0
JeecgBoot,41583,53,36
yarn,41494,152,36.5
monaco-editor,41487,91,37
awesome-design-patterns,41328,0,36.5
acme.sh,41226,44,37
prisma,41222,209,37.0
LLaMA-Factory,41174,32,37
FreeDomain,41106,0,36.5
reactjs-interview-questions,41062,0,36
vue2-elm,41044,0,36.0
ChatGLM-6B,41024,0,36
what-happens-when,40962,0,35.5
python-patterns,40955,0,35
metabase,40901,618,35.5
GPT-SoVITS,40876,1,35
pyenv,40815,120,35.5
dubbo,40739,107,36
odoo,40720,0,35.5
styled-components,40676,172,36
spark,40571,0,35.5
uv,40561,157,36
swiper,40545,81,36.0
nw.js,40492,0,36
